"id","contestant_id","season_id","franchise_id","contestant","hometown","age","rank","link_image"
"F11S04C10","Q212","F11S04","F11","Valentina","Los Angeles, California","27","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/43/ValentinaAS4CastMug.jpg"
"F11S05C01","Q121","F11S05","F11","Alexis Mateo","Las Vegas, Nevada","39","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/1d/AlexisMateoAS5CastMug.png"
"F11S05C02","Q225","F11S05","F11","Blair St. Clair","Washington, D.C.","24","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/4c/BlairStClairAS5CastMug.png"
"F11S05C03","Q193","F11S05","F11","Derrick Barry","Las Vegas, Nevada","35","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/29/DerrickBarryAS5CastMug.png"
"F11S05C04","Q124","F11S05","F11","India Ferrah","Las Vegas, Nevada","33","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a9/IndiaFerrahAS5CastMug.png"
"F11S05C05","Q110","F11S05","F11","Jujubee","Boston, Massachusetts","34","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/25/JujubeeAS5CastMug.png"
"F11S05C06","Q287","F11S05","F11","Mariah Paris Balenciaga","Los Angeles, California","37","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/df/MariahParisBalenciagaAS5CastMug.png"
"F11S05C07","Q229","F11S05","F11","Mayhem Miller","Riverside, California","37","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/34/MayhemMillerAS5CastMug.png"
"F11S05C08","Q230","F11S05","F11","Miz Cracker","New York City, New York","35","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/da/MizCrackerAS5CastMug.png"
"F11S05C09","Q104","F11S05","F11","Ongina","Los Angeles, California","37","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/c9/OnginaAS5CastMug.png"
"F11S05C10","Q210","F11S05","F11","Shea Couleé","Chicago, Illinois","30","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/29/SheaCoule%C3%A9AS5CastMug.png"
"F11S06C01","Q250","F11S06","F11","A'keria C. Davenport","Dallas, Texas","32","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/c7/A%27keriaCDavenportAS6CastMug.png"
"F11S06C02","Q203","F11S06","F11","Eureka!","Los Angeles, California","30","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/76/EurekaAS6CastMug.png"
"F11S06C03","Q174","F11S06","F11","Ginger Minj","Orlando, Florida","35","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a2/GingerMinjAS6CastMug.png"
"F11S06C04","Q282","F11S06","F11","Jan","New York City, New York","27","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/dc/JanAS6CastMug.png"
"F11S06C05","Q136","F11S06","F11","Jiggly Caliente","New York City, New York","39","12th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/2b/JigglyCalienteAS6CastMug.png"
"F11S06C06","Q111","F11S06","F11","Kylie Sonique Love","Los Angeles, California","37","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/fe/KylieSoniqueLoveAS6CastMug.png"
"F11S06C07","Q115","F11S06","F11","Pandora Boxx","Los Angeles, California","48","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e4/PandoraBoxxAS6CastMug.png"
"F11S06C08","Q258","F11S06","F11","Ra'Jah O'Hara","Dallas, Texas","34","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/c7/Ra%27JahO%27HaraAS6CastMug.png"
