id,name,original_season_id,link_image
Q467,Miss Moço,F15S03,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6d/MissMo%C3%A7oCDR3CastMug.jpg
Q186,Trixie Mattel,F10S07,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6d/TrixieMattelS7CastMug.png
Q356,Tia Kofi,F14S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6e/TiaKofiDRUK2CastMug.jpg
Q471,Faúx Fúr,F17S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6f/Fa%C3%BAxF%C3%BArDRDU2CastMug.png
Q141,Milan,F10S04,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6f/MilanS4CastMug.jpg
Q256,Miss Leona,F12S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6f/MissLeonaTSDR2CastMug.png
Q103,Nina Flowers,F10S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6f/NinaFlowersS1CastMug.png
Q270,Silver Sonic,F13S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/70/SilverSonicDRT2CastMug.png
Q451,La Grande Dame,F21S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/71/LaGrandeDameDRF1CastMug.jpg
Q171,Milk,F10S06,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/72/MilkS6CastMug.png
Q466,Miss Fiercalicious,F15S03,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/72/MissFiercaliciousCDR3CastMug.jpg
Q341,Rosé,F10S13,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/74/Ros%C3%A9S13CastMug.jpg
Q276,Brooke Lynn Hytes,F10S11,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/75/BrookeLynnHytesS11CastMug.jpg
Q447,Elips,F21S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/76/ElipsDRF1CastMug.jpg
Q112,Morgan McMichaels,F10S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/76/MorganMcMichaelsS2CastMug.png
Q412,Divinity,F19S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/78/DivinityDRI1CastMug.jpg
Q195,Laura Bell,F12S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/78/LauraBellTSDR1CastMug.jpg
Q266,M Stranger Fox,F13S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/78/MStrangerFoxDRT2CastMug.png
Q402,Gia Metric,F15S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/79/GiaMetricCDR2CastMug.jpg
Q263,Kana Warrior,F13S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/79/KanaWarriorDRT2CastMug.png
Q139,Latrice Royale,F10S04,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7a/LatriceRoyaleS4CastMug.jpg
